"","player.id","pos","last","first","numfirstlast","firstlast","index","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots","HOME_CF.x","HOME_CA.x","AWAY_CF.x","AWAY_CA.x","CF.x","CA.x","CPLUSMINUS.x","CFpercent.x","HOME_CF.y","HOME_CA.y","AWAY_CF.y","AWAY_CA.y","CF.y","CA.y","CPLUSMINUS.y","CFpercent.y","XFACTOR","TOTALCF","TOTALCA","TOTALCplusminus","TOTALCFpercent","XFACTORplusminus"
"1"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416025,412900,445855,429865,861880,842765,19115,50.5606739233095,429865,445855,412900,416025,842765,861880,-19115,49.4393260766905,1.12134784661908,1704645,1704645,3409290,50,38230
"2","1",NA,"","",""," ",1,"xxxxxxxNA",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","10","R","Abney","Cameron","[TSN] Cameron Abney","Cameron Abney",21,"abneyca91",0,0,0,0,0,"1991-05-23","6-5","200","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","100","LR","Andronov","Sergei","[TSN] Sergey Andronov","Sergei Andronov",205,"androse89",0,0,0,0,0,"1989-07-19","6-2","190","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1000","L","Crouse","Lawson","[CAP] Lawson Crouse","Lawson Crouse",2313,"crousla97",NA,NA,NA,NA,NA,"1997-06-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1001","C","Crowder","Paul","[TSN] Paul Crowder","Paul Crowder",2314,"crowdpa85",0,0,0,0,0,"1985-02-12","6-3","180","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1002","R","Crowder","Tim","[TSN] Tim Crowder","Tim Crowder",2315,"crowdti86",0,0,0,0,0,"1986-10-16","6-2","180","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1003","D","Crowley","Dane","[TSN] Dane Crowley","Dane Crowley",2317,"crowlda87",0,0,0,0,0,"1987-01-22","6-2","210","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1004","C","Crus Rydberg","Viktor","[TSN] Victor Crus Rydberg","Viktor Crus Rydberg",2318,"crusrvi95",0,0,0,0,0,"1995-03-21","5-11","190","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1005","C","Cuddihy","Jimmy","[TSN] Jimmy Cuddihy","Jimmy Cuddihy",2321,"cuddiji84",0,0,0,0,0,"1984-04-22","6-3","194","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
